Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
129.45,134.95,133.35,4564240,1.381736149,-1.0225,124.0404647,-5.406177067,1
135,134.25,135.03,2388637,1.999222733,-2.5375,126.0016102,13.27459637,-1
133.7,139.15,137.32,3785074,2.356612958,-4.3425,128.8774512,32.81648967,1
144.45,140.6,142.16,4374409,3.466887095,-5.8625,131.9219886,5.100703082,-1
142.5,140.8,142,3031696,4.141843109,-5.4775,135.4558646,14.69478669,-1
141,138.05,139.5,1823066,4.503907237,-6.76,138.8088249,24.68011171,-1
138.6,143.95,142.02,3857563,4.544932076,-10.045,141.6238048,57.398661,1
144.2,140.4,142.54,2763503,4.971788227,-2.845,143.1665509,18.52761459,-1
141.45,134.7,137.19,2531696,5.030343455,-1.5975,144.728612,-77.11593343,-1
136.75,136.15,138.59,5369089,4.644186261,-3.31,145.4076276,-23.94788762,-1
136.9,125.8,128.31,5058672,4.300676705,-3.13,144.3949023,-6.486916058,-1
121.2,116.5,119.06,1997742,2.730775259,3.7975,142.5093155,-2.926127203,-1
115.1,120,118.1,2907837,0.983261094,3.3625,138.6294761,-2.751348684,1
122,116.45,119.51,1783350,0.152981082,8.31,132.4548776,-2.625951968,-1
115.9,117.85,116.65,1697342,-0.985657301,10.035,126.2846135,-2.54132045,1
116.6,118.2,119.37,2165600,-1.81076591,10.41,120.5689359,-2.931420761,1
119,117.95,118.19,884774,-2.245276446,7.6725,116.3191435,-3.122910238,-1
118.4,118.05,119.07,1865758,-2.607984883,13.995,113.5699906,-2.213293257,-1
119.4,117.9,118.06,1539774,-2.782734835,10.9575,112.2326986,-2.269419071,-1
118,114.95,115.66,2017226,-2.999576441,5.72,112.071094,-2.48577835,-1
115.25,113.75,115.03,1455741,-3.354563029,7.8175,112.7419083,-2.99733514,-1
113.9,108.15,109.86,1613367,-3.702123251,-1.4725,113.2464058,-4.496598389,-1
108.9,109.9,110,1787938,-4.330919857,-9.4675,113.3135322,-5.170179015,1
111.45,112.1,112.46,678144,-4.570946618,-4.505,112.1023287,-3.088497814,1
112,110.15,111.17,662031,-4.663089289,-6.63,110.6787101,-3.845152629,-1
110.2,107.2,107.64,1286679,-4.825677341,-3.6975,109.7957215,-2.589314431,-1
108,105.65,105.68,1723279,-5.073500699,-1.805,109.1685469,-2.53022682,-1
107.35,107.65,107.76,1339950,-5.261703097,-0.14,108.203119,-2.556905905,1
107.75,107.05,107.91,1403837,-5.317330666,1.5975,106.8706142,-3.134937448,-1
107.9,106.5,106.48,807645,-5.288381739,2.83,105.981719,-2.726019196,-1
107,107.55,107.61,899289,-5.277211554,1.3625,105.5520032,-2.810454192,1
108.05,111.5,109.94,1875037,-5.124625153,1.075,105.3263368,-3.344695793,1
113,112.4,113.25,1616521,-4.552027301,-4.275,105.3490395,-8.435030338,-1
112.4,110.4,110.37,819703,-4.099365766,-2.145,106.3159502,-5.596868401,-1
109.6,110.15,110.33,765462,-3.921239675,0.3575,108.0173067,-5.43034467,1
110.5,110.7,111.01,894272,-3.665246341,-1.2075,109.5628576,-6.391579571,1
110.4,109.8,110.17,879963,-3.430888579,-3.7825,110.610226,-7.276616,-1
110.8,110.15,110.44,542392,-3.176287558,-4.925,111.3082934,-5.642377675,-1
110,109,109.32,475460,-3.004401906,-2.53,111.6127536,-4.630049084,-1
109.75,110.9,111.06,965440,-2.855432178,-2.685,111.6474563,-6.53767616,1
111.45,111.25,111.59,802116,-2.570641137,-3.0325,111.2506866,-7.245790368,-1
111.6,113.05,112.98,1789000,-2.306256944,-1.8575,111.0117396,-5.99720763,1
113.5,113.1,114.14,1250554,-1.921346321,1.8475,111.0214016,-3.892077382,-1
113,111.55,112.36,585012,-1.637737481,2.5875,111.5351709,-3.471900906,-1
112.5,111.1,112.06,683625,-1.436731676,0.615,112.2373548,-3.083407552,-1
110.9,109.2,109.71,1024981,-1.390440013,0.3175,112.6760209,-2.78769995,-1
109.25,107.95,108.64,449327,-1.469884133,0.7675,112.7606155,-2.600437671,-1
107.6,106.55,107.06,376326,-1.646939977,-0.2475,112.2905737,-2.671797803,-1
107.7,104.95,105.78,584705,-1.758932235,0.1575,111.323368,-2.67131809,-1
103,101.7,102.66,438515,-2.201373933,-0.8875,109.9211525,-2.599595101,-1
101,97.5,99.47,1220188,-2.682418745,1.2525,108.1723136,-2.302548916,-1
98.8,99.35,99.12,1203563,-3.204175899,2.105,105.8893857,-1.988634701,1
100.75,99.95,100.6,670951,-3.421008727,4.5125,102.8863947,-1.74558431,-1
99.3,95.55,96.76,796989,-3.667538495,5.185,100.2285948,-1.905668446,-1
97.25,96.15,96.69,562320,-3.982366011,4.3775,98.3774396,-1.881214944,-1
97.7,95.7,95.54,862813,-4.147794806,4.6275,96.5790909,-1.860572044,-1
96,95.6,95.61,332511,-4.365701364,3.4775,95.0798223,-1.915218705,-1
95.5,94.45,95.14,362281,-4.526567017,2.9375,93.9562573,-2.136628929,-1
95.25,94.3,94.52,348591,-4.620974792,2.3225,93.3812673,-2.097798787,-1
93.55,95.65,95.41,753747,-4.777844369,1.4575,93.0313987,-2.177347526,1
96,98.35,98.78,985792,-4.650987589,-1.03,92.8026252,-2.652568235,1
98.6,97.25,98.65,489057,-4.291310622,-4.585,92.9213184,-4.895882938,-1
96.3,96.85,96.93,272734,-4.143988354,-1.945,93.8309685,-3.185185019,1
96.1,95.95,96.15,207378,-3.997295946,-0.5325,94.9406156,-3.295085985,-1
95.25,92.25,93.38,758818,-3.904592662,-4.1525,95.9008913,-4.106584855,-1
91.25,88.05,90,734616,-4.106396616,-2.61,96.4340994,-3.686909312,-1
87.1,87.05,87.47,591263,-4.548614017,-2.0025,96.03943,-3.124077599,-1
86,89.75,88.8,1694229,-4.930986407,-1.0575,94.3648823,-2.67225464,1
91.7,89.5,91.41,1073434,-4.719948945,-1.3675,91.9266652,-5.563501056,-1
88.25,88.4,89,877167,-4.77589546,-0.745,89.9178049,-4.507909009,1
89,90.3,89.81,830252,-4.705526445,1.27,88.5360803,-3.530854365,1
91.4,97.1,94.6,2823482,-4.405433578,4.33,87.5381582,-3.752982229,1
99.75,102.3,102.29,3252523,-3.454372176,3.3425,87.2207034,-33.04444134,1
101.1,96.25,98.75,1296542,-2.562207086,2.825,88.6989883,-109.381009,-1
95.95,95.55,96.06,931134,-2.244597064,1.89,92.1331256,-12.09494148,-1
96,98.1,97.89,1738395,-1.966185762,-1.78,95.1341634,-14.8240601,1
98,99.8,99.37,781269,-1.56618567,-6.1,97.0479493,121.5014685,1
100,99.35,100.13,674662,-1.075474878,-7.31,98.4421002,18.47307803,-1
99.25,95.75,97.06,623396,-0.73853792,-4.855,99.8755042,-96.64283515,-1
95.75,96.6,96.3,770931,-0.745182013,-5.1775,100.9831065,-370.8170076,1
98.25,99.7,99.03,1719847,-0.542573718,-6.325,100.8718404,22.00428636,1
99.9,103.45,102.7,3000537,-0.246090187,-4.4925,100.0943353,10.78752444,1
104.8,105.65,105.71,3121865,0.379691623,1.9975,99.7422256,8.482568736,1
106.7,105.55,106.41,2238869,1.017166983,6.7575,100.5125299,8.805819812,-1
104.7,105.35,105.62,1622755,1.345595399,0.2275,102.151324,11.44130946,1
105.35,106.6,107.42,2332618,1.6394218,-1.1275,103.9409194,9.475477313,1
106,105.85,105.93,858220,1.902789502,0.495,105.4808439,20.60597081,-1
105.9,101.85,103.42,1259693,2.079494368,1.255,106.9129503,52.04430173,-1
100.4,103.8,102.49,1555397,1.755741983,0.2,107.9550189,-58.23032674,1
104.4,107.9,106.74,1982667,1.800993525,-4.115,107.809225,15.6258997,1
109.8,108.5,109.79,2899902,2.246474245,-4.24,107.1598109,9.220579561,-1
109.65,107.1,109.15,2079895,2.557966916,-2.05,107.0334749,-24.42583034,-1
106.55,107.95,107.68,929156,2.525724995,1.2,107.491448,-4.730440885,1
108.1,108.8,108.8,1042115,2.595271267,3.1175,107.9295643,-4.670781059,1
107.6,109.05,109.67,2039145,2.580332058,2.39,108.3312365,-8.283763616,1
110.25,110.9,111.67,3551341,2.750516304,1.515,108.8427812,-7.575421946,1
110.15,111.6,111.72,1907299,2.84455261,2.125,109.4614071,-7.223080755,1
112.3,115.9,114.79,4785944,3.057246576,0.785,110.302183,-11.85156491,1
116.9,119.8,118.58,4247437,3.555826921,-4.0425,111.19684,7.075525818,1
120,121.15,121.17,3021507,4.153130713,-3.295,112.7640823,4.944409195,1
120.5,118.85,119.69,3553657,4.613684031,-0.4225,115.2514692,6.482900293,-1
119.45,123.1,122.88,6511873,4.838262241,-0.78,118.1968243,5.735032879,1
122.25,122.55,123.84,4793414,5.182350882,-3.1625,120.467596,3.314267177,1
123.8,125.05,125.31,3703806,5.516496226,-3.1575,122.6561956,5.061728992,1
125.8,126.95,127.08,2661143,5.874922705,-3.2825,124.3920972,5.656606904,1
129,126,126.48,4062729,6.343966805,-4.1125,126.0476334,5.634402599,-1
125,129.55,128.56,5270627,6.320282906,-3.2325,127.5940811,7.391138369,1
129.7,130.8,131.24,4754871,6.604456603,-3.7175,128.6717949,4.608462666,1
131.45,128.7,129.49,2433050,6.891402692,-0.865,129.8789067,9.776941563,-1
128.9,126.45,126.68,2296697,6.83441313,1.79,131.2368773,-253.3153534,-1
127.45,128.05,127.92,2608013,6.596294655,2.2125,132.0971391,-25.98288707,1
127.5,127.45,129.1,2547132,6.338565334,-1.065,131.9766368,73.36763988,-1
126.55,123.15,124.73,2428971,5.98867653,2.1675,131.4842069,-7.749833968,-1
117.5,123.95,122.67,1551471,4.924751666,0.8575,130.7782245,-7.537047826,1
124.7,126.75,127.3,3635236,4.609096562,2.6,129.2844642,-9.300260176,1
126.05,125.6,125.97,1126210,4.416902683,3.615,127.5268036,-9.150824371,-1
124.5,125.05,124.85,1167089,4.092415852,1.93,126.380257,-21.96224966,1
125.9,122,124.81,1767214,3.90317463,4.8075,125.7133584,-4.229685919,-1
122.5,120.55,121.68,1354237,3.439353142,5.7525,125.2801239,-3.558156327,-1
121,122,122.04,1137342,2.917162825,3.615,124.412305,-3.691657069,1
122.45,123.7,123.83,916487,2.590391521,1.3225,123.1663624,-4.623384535,1
124.4,130.1,128.57,3891806,2.460322874,2.68,122.1912933,-3.505231524,1
130.7,132.15,133.06,2913398,2.832682318,1.73,121.8804544,226.5266124,1
